year,sideA,sideB,weight,agression
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2013,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2014,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2015,juarez cartel,sinaloa cartel,230,10.876158617846391
2016,juarez cartel,sinaloa cartel,230,10.876158617846391
2016,juarez cartel,sinaloa cartel,230,10.876158617846391
2016,juarez cartel,sinaloa cartel,230,10.876158617846391
2016,juarez cartel,sinaloa cartel,230,10.876158617846391
2016,juarez cartel,sinaloa cartel,230,10.876158617846391
2016,juarez cartel,sinaloa cartel,230,10.876158617846391
2016,juarez cartel,sinaloa cartel,230,10.876158617846391
2016,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
2017,juarez cartel,sinaloa cartel,230,10.876158617846391
