"year","country","v2lgqugen","v2xeg_eqprotec","regime_type","v2elloelsy","Actor1Type","Target1Type","EventViolence"
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,1,3,0
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,1,2,0
1992,"Algeria",0,0.72,-2,1,2,1,1
1992,"Algeria",0,0.72,-2,1,1,3,0
1992,"Algeria",0,0.72,-2,1,1,3,0
1992,"Algeria",0,0.72,-2,1,1,3,0
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,1,3,0
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,2,1,0
1992,"Algeria",0,0.72,-2,1,1,2,0
1996,"Algeria",0,0.718,-3,8,4,2,1
1996,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,1,4,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,1,4,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,1,4,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,4,1,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,4,2,1
1997,"Algeria",0,0.718,-3,8,4,2,1
